Plot,Ind.,pct_brown,dead_limbs,total_limbs,char_ht_cm,ht2_cm,tree_id,pct_dead_limbs,water_trt,veg_trt,alive,dead,survival,probe_ht,avg_max_temp,avg_s_abv_100,avg_heat_flux100,Treatment,avg_dry_wt,avg_fuel_moisture,avg_fuel_ht_cm,avg_litter_depth_cm,avg_flameht_cm
1,S,45,4,14,182,405,1,28.571428571428573,Drought,Invaded,1,0,1,50cm,372.5226666666667,86,20081.396666666667,DC,64.16333333333334,21.466089355373676,60.666666666666664,8.777777777777779,183.33333333333334
1,S,45,4,14,182,405,1,28.571428571428573,Drought,Invaded,1,0,1,25cm,494.4786666666667,105,26363.073333333334,DC,64.16333333333334,21.466089355373676,60.666666666666664,8.777777777777779,183.33333333333334
1,S,45,4,14,182,405,1,28.571428571428573,Drought,Invaded,1,0,1,0cm,395.9053333333333,118.5,31271.760000000002,DC,64.16333333333334,21.466089355373676,60.666666666666664,8.777777777777779,183.33333333333334
2,C,10,0,1,75,203,2,0,Ambient,Reference,1,0,1,50cm,224.014,52.666666666666664,8387.323333333334,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,C,10,0,1,75,203,2,0,Ambient,Reference,1,0,1,25cm,211.82533333333333,94.5,17117.690000000002,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,C,10,0,1,75,203,2,0,Ambient,Reference,1,0,1,0cm,450.4566666666667,88,23048.68666666667,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,D,10,1,5,122,389,3,20,Ambient,Reference,1,0,1,50cm,224.014,52.666666666666664,8387.323333333334,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,D,10,1,5,122,389,3,20,Ambient,Reference,1,0,1,25cm,211.82533333333333,94.5,17117.690000000002,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,D,10,1,5,122,389,3,20,Ambient,Reference,1,0,1,0cm,450.4566666666667,88,23048.68666666667,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,F,1,0,9,82,464,4,0,Ambient,Reference,1,0,1,50cm,224.014,52.666666666666664,8387.323333333334,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,F,1,0,9,82,464,4,0,Ambient,Reference,1,0,1,25cm,211.82533333333333,94.5,17117.690000000002,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,F,1,0,9,82,464,4,0,Ambient,Reference,1,0,1,0cm,450.4566666666667,88,23048.68666666667,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,G,1,2,19,77,467,5,10.526315789473685,Ambient,Reference,1,0,1,50cm,224.014,52.666666666666664,8387.323333333334,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,G,1,2,19,77,467,5,10.526315789473685,Ambient,Reference,1,0,1,25cm,211.82533333333333,94.5,17117.690000000002,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,G,1,2,19,77,467,5,10.526315789473685,Ambient,Reference,1,0,1,0cm,450.4566666666667,88,23048.68666666667,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
2,Q,1,1,18,58,510,6,5.555555555555555,Ambient,Reference,1,0,1,50cm,224.014,52.666666666666664,8387.323333333334,AN,39.343333333333334,17.380083894494224,31.88888888888889,2.6666666666666665,56.166666666666664
